title,developer,url,group,monthlyUsers,totalUsers,rating,reviews,description
"Taobao 淘宝 Product Detail Scraper - SKUs, Prices, Reviews",Zen Studio,https://apify.com/zen-studio/taobao-detail-scraper?fpr=youssef,chinese-marketplaces,475,1326,5,2,"Extract SKUs, prices, attributes, optional reviews, images, videos, shop data, and category metadata from Taobao (淘宝) and Tmall (天猫) product URLs or item IDs. Export clean JSON, CSV, and Excel rows"
Amazon Scraper,Junglee,https://apify.com/junglee/free-amazon-product-scraper?fpr=youssef,amazon,465,14537,5.0,45,"Gets you product data from Amazon. Unofficial API. Scrapes and downloads product information without using the Amazon API, including reviews, prices, descriptions, and ASIN"
Trustpilot Reviews Scraper,Automation Lab,https://apify.com/automation-lab/trustpilot?fpr=youssef,reviews,447,2166,5,1,"Extract Trustpilot reviews with ratings, replies, reviewer info, and company data. Tiered per-review pricing applies, plus a run start fee"
Facebook marketplace scraper,Curious Coder,https://apify.com/curious_coder/facebook-marketplace?fpr=youssef,global-marketplaces,411,4815,4.9,8,Scrape facebook marketplace listings from search URLs or using filters and get complete details including seller info. Option to get only new listings* across multiple runs. Cost
Ozon.ru Product Scraper PRO | Парсер товаров Ozon,Zen Studio,https://apify.com/zen-studio/ozon-scraper-pro?fpr=youssef,global-marketplaces,371,1110,4.7,6,"Full product data for any Ozon URL or search query - pricing, specs, variants, reviews, sellers, price history. Search with filters (price, rating, delivery). Tile-only mode 5x cheaper. JSON/CSV/Excel. No login. | Товары Ozon: цены, характеристики, варианты, отзывы, продавцы, история цен"
Tiktok Shop Scraper,Pratik Dani,https://apify.com/pratikdani/tiktok-shop-scraper?fpr=youssef,chinese-marketplaces,363,2908,4.6,8,"This actor automates TikTok Shop data extraction, gathering product details, pricing, sales, and competitor insights. Scrape crucial e-commerce data directly from TikTok to analyze trends, track performance, and optimize your shop strategy"
Pinterest Scraper | All-In-One,Fatih Tahta,https://apify.com/fatihtahta/pinterest-scraper-search?fpr=youssef,ads-and-trends,362,2373,5,4,"Scrape Pinterest profiles, pins and boards into clean JSON. Get titles, descriptions, images/video, creator + board info, links, domains, timestamps and engagement signals. Great for trend research, content planning, creator discovery and competitive tracking"
Amazon Bestsellers Scraper,Junglee,https://apify.com/junglee/amazon-bestsellers?fpr=youssef,amazon,355,4824,4.3,12,"Scrape the Amazon Best Sellers categories and extract details on top 100 most popular items on Amazon. Download product name, price, URL, and thumbnail image. Best used on.com,.co.uk,.de,.fr,.es, and.it domains. Download your data in various formats: HTML table, JSON, CSV, Excel, and more"
Google Ads Scraper,Gustavo Silva (Coherent Paradox),https://apify.com/silva95gustavo/google-ads-scraper?fpr=youssef,ads-and-trends,340,4360,4.9,19,"Extract up to 400 ads per minute along with text, image and video ads from Google Ads, scraped from the ad library provided by the Google Ads Transparency Center. Gain access to ad details, ad copy, locations and more for a faster competitive edge"
Etsy Listings Scraper - Live Carts & Ads,Yakugusa Yumitori,https://apify.com/yumitori/etsy-listings-scraper?fpr=youssef,ebay-etsy,286,1022,,0,"Scrape Etsy listings by keyword with data no other scraper exposes - live cart counts, ""X people bought in 24h"" signals, Etsy Ads slot positions, bestseller and star-seller badges, seller velocity. Up to 1,080 per keyword, any country. No proxy or captcha needed"
Taobao Tmall Product Scraper,SIÁN OÜ,https://apify.com/sian.agency/taobao-tmall-product-scraper?fpr=youssef,chinese-marketplaces,279,1116,4.4,4,"Scrape Taobao and Tmall into clean structured datasets - product details, seller reputation and service terms, keyword search, shop catalogs, customer reviews and buyer Q&A. Seven operations in one actor, one clean dataset per run. No account, no API key, no setup"
Coles AU Product Search Scraper,Dmitriy Gyrbu,https://apify.com/dromb/coles-au-product-search-specials-stores-unofficial?fpr=youssef,us-retailers,278,318,,0,"Scrape Coles Australia product search results, prices, specials, categories, store context, barcode lookups, and normalized item data for grocery monitoring workflows"
Woolworths AU Product Scraper,Dmitriy Gyrbu,https://apify.com/dromb/woolworths-au-product-search-catalog-unofficial?fpr=youssef,us-retailers,274,320,,0,"Scrape Woolworths Australia product search results, category listings, prices, specials, nutrition fields, and normalized item data for grocery monitoring workflows"
Booking.com Hotel Scraper,NanoScrape,https://apify.com/santamaria-automations/booking-com-scraper?fpr=youssef,reviews,258,986,,0,"Scrape hotel listings from Booking.com including prices, ratings, availability, and cancellation policies. Uses the unprotected GraphQL API - HTTP-only, low memory, fast"
Amazon Products Scraper - Fast & Efficient (with Sales Data),Automly,https://apify.com/automly/amazon-products-scraper---fast-efficient-with-sales-data?fpr=youssef,amazon,258,885,,0,"Scrape Amazon product pages - title, price, BSR, badges, variants, reviews, specs, plus monthly-sales/revenue estimates calibrated against Amazon's own bought-in-past-month badges. Three input modes: keyword search, direct URLs, or raw ASINs"
Google Flights Scraper - Most Comprehensive,Kai,https://apify.com/kaix/google-flights-scraper?fpr=youssef,other-ecommerce,254,561,,0,"~ one-way, round-trip, and multi-city flights, compare flexible dates and destinations, and add optional booking choices"
Google Maps Reviews Scraper - Most Comprehensive,Kai,https://apify.com/kaix/google-maps-reviews-scraper?fpr=youssef,reviews,248,1417,4.9,12,"~ most comprehensive Google Maps review scraper. Extract reviews with ratings, text, translations, photos, author details, owner responses, structured dining/hotel/attraction data, and 65+ place fields. Supports keyword filtering, sorting"
AliExpress Products Scraper,devcake,https://apify.com/devcake/aliexpress-products-scraper?fpr=youssef,chinese-marketplaces,246,1586,5.0,2,"Scrape AliExpress search results to find best-selling products. Get prices, ratings, reviews, and order counts"
Temu Products Scraper,Amit,https://apify.com/amit123/temu-products-scraper?fpr=youssef,chinese-marketplaces,246,1343,3.5,7,"Scrapes product listings from Temu based on search keywords. Returns detailed data including title, price, discount, rating, sales, images, and product links. Ideal for price tracking, product research, and e-commerce analysis. Fast, structured, and easy to use"
Meta (Facebook) Ad Library Scraper - Efficient & Fast,Automly,https://apify.com/automly/facebook-ad-library-scraper?fpr=youssef,ads-and-trends,243,1242,4.3,4,"Scrape the Meta Ad Library for Facebook and Instagram ads. Extract ad copy, images, videos, spend, impressions, and advertiser transparency data. No account or API key required"
Tiktok Shop Search Scraper,Pratik Dani,https://apify.com/pratikdani/tiktok-shop-search-scraper?fpr=youssef,chinese-marketplaces,241,2176,3.6,5,"This actor scrapes TikTok Shop search results for detailed product data, including titles, prices, sellers, ratings, descriptions, and media URLs. It's designed for market research, competitor analysis, trend spotting, and e-commerce strategy optimization"
Shopee Scraper,Gio,https://apify.com/gio21/shopee-scraper?fpr=youssef,global-marketplaces,232,2558,4.3,19,"Scrape Shopee product listings by keyword, category, or URL across Brazil, Singapore, Malaysia, Vietnam, Thailand, and Philippines. Returns price, discount, seller, ratings, stock, shipping. Ideal for price monitoring, seller intelligence, and market research"
Fast Amazon Bestsellers Scraper,Amazon Scraper,https://apify.com/amazon-scraper/amazon-bestsellers-scraper?fpr=youssef,amazon,228,931,5,1,"Amazon Best Sellers Scraper, Amazon URLs from 9 different Amazon domains:.com, com.au,.in, co.jp,.de..co.uk,.fr,.es and.it. Scrape the 100 top-selling items on Amazon"
Shopee Search & Category Scraper - Cheapest,Farhan Febrian Nauval,https://apify.com/xtracto/shopee-search?fpr=youssef,global-marketplaces,212,1048,5,3,"Search Shopee products by keyword, category URL, or any Shopee listing URL. Optionally enrich each result with full product detail (price variants, stock, images, attributes, seller info) across multiple countries. Fast, lightweight, and no browser or account required"
Amazon Reviews Scraper,Data Forge,https://apify.com/jdtpnjtp/amazon-reviews?fpr=youssef,amazon,212,362,5,1,"Scrape full Amazon customer reviews with NO login and NO cookie. Provide ASINs or product URLs - get every review (rating, title, text, author, date, verified, helpful votes, photos) as clean structured rows. Pay only per review, no subscription"
TikTok Shop Scraper [NO COOKIES],Unseen User,https://apify.com/unseenuser/TikTok-Shop-Scraper?fpr=youssef,chinese-marketplaces,206,2164,5,5,"Extract product data, reviews, seller info, creator affiliates, and GMV/sales estimates from TikTok Shop at scale. Filter by category, price range, and country (US, UK). Built for dropshippers, e-commerce sellers, and DTC brands hunting trending products before they go viral"
"Shopify Store Leads Scraper - Emails, Phones & Ratings",ClearPath,https://apify.com/clearpath/shopify-store-leads?fpr=youssef,shopify-stores,200,1576,4.4,4,"Scrape Shopify store leads by keyword or category. Extract emails, phone numbers, addresses, ratings, and social links. Find storeleads for B2B outreach, supplier discovery, and market research"
"Pinterest Scraper | Pins, Boards and Profiles",SilentFlow,https://apify.com/silentflow/pinterest-scraper-ppr?fpr=youssef,other-ecommerce,195,1044,5,2,"Pay per result Pinterest scraper. Extract pins, boards, users and search results. Pay only for the data you get -. 30+ data fields including images, engagement metrics, SEO metadata and prices"
Google Maps Scraper - Most Comprehensive,Kai,https://apify.com/kaix/google-maps-places-scraper?fpr=youssef,reviews,183,1227,5,2,"~ most comprehensive Google Maps scraper available. Extract 76+ fields per place including photos, review breakdowns, owner info, contacts, coordinates, and 30+ service options. Just type a keyword and location"
"eBay: Active & Sold Listings, Prices & Analytics (17 Markets)",Muhamed Didovic,https://apify.com/memo23/ebay-search-scraper-ppe?fpr=youssef,ebay-etsy,180,406,5,4,"Scrape eBay active & sold listings across 17 marketplaces. Search by keyword or URL - get prices, sold price & date, sell-through rate, condition, shipping, item specifics, identifiers (UPC/MPN), images & seller details. Fast/full-detail modes + change monitoring"
Парсер объявлений Авито / Avito Scraper: телефоны и цены,Zen Studio,https://apify.com/zen-studio/avito-listings-scraper?fpr=youssef,global-marketplaces,179,1034,5,3,"Парсер объявлений Авито: телефоны продавцов в открытом виде, цены, характеристики, отзывы и координаты. 76 категорий: авто, недвижимость, вакансии, услуги, посуточная аренда и отели"
Mercadolivre Scraper (Brasil português),karamelo,https://apify.com/karamelo/mercadolivre-scraper-brasil-portugues?fpr=youssef,global-marketplaces,173,1933,4.8,7,"MercadoLivre Scraper para produtos e ofertas do dia é uma ferramenta de web scraping de última geração, criada para o site brasileiro MercadoLivre, que permite coletar dados públicos do MercadoLivre de forma fácil e eficiente"
Meta | Facebook Ads Library Scraper,Azzouzana,https://apify.com/azzouzana/meta-facebook-instagram-ads-library?fpr=youssef,ads-and-trends,166,499,5,7,"#1 Ultimate Meta | Instagram & Facebook Ad Library Scraper Fast. Get ad creatives, status & more from FB Pages, Instagram profiles or an Ad Library search URLs. Get deep audience demographics (age/gender), reach metrics & much more! High-velocity, enterprise-grade scraping"
G2 Reviews & Products Scraper,Automation Lab,https://apify.com/automation-lab/g2-scraper?fpr=youssef,reviews,163,741,5,2,"Scrape G2.com reviews, ratings, and product data. Extract NPS scores, reviewer sentiment, ease-of-use ratings, switching data, and product lists from 5M+ reviews across 220K+ products"
Google Lens | AI Mode | Reverse image search | Translation+OCR,borderline,https://apify.com/borderline/google-lens?fpr=youssef,other-ecommerce,159,1825,3.9,4,"Google Lens | Reverse image search | AI Mode Seamlessly identify text, translate in real time, recognize and classify objects, reverse search images, and extract detailed structured data. It’s fast, reliable, and affordable - your essential tool for all visual intelligence needs!"
Mercadolibre Scraper (español castellano),karamelo,https://apify.com/karamelo/mercadolibre-scraper-espanol-castellano?fpr=youssef,global-marketplaces,154,1332,5,5,El Mercadolibre Scraper es una herramienta de raspado web de última generación que te permite recolectar datos públicos de MercadoLibre de forma fácil y eficiente
Shopee Scraper - All In One,Farhan Febrian Nauval,https://apify.com/xtracto/shopee-scraper?fpr=youssef,global-marketplaces,153,2578,4.1,10,"All-in-one Shopee scraper to extract product, search, category, and shop data across multiple countries. fast, lightweight, and no browser or account required"
Alibaba Products Scraper,devcake,https://apify.com/devcake/alibaba-products-scraper?fpr=youssef,chinese-marketplaces,153,956,2.9,3,"Extract wholesale product data, and pricing from Alibaba.com for sourcing and market research. Filter by price range, MOQ, Trade Assurance, Verified suppliers and Alibaba Guaranteed"
"TikTok Shop Scraper - Products, Reviews & Sellers",Kelopr_bk,https://apify.com/trakk/tiktok-shop-search-scraper?fpr=youssef,chinese-marketplaces,153,360,,0,"Scrape TikTok Shop products with full detail in all 10 stores: descriptions, SKUs, stock, shipping, videos and customer reviews. Search by keyword in the US and 5 regional stores, browse category catalogs in 9 markets, or pull exact products by URL or ID. Local prices, never converted"
"MercadoLibre Scraper: Products, Reviews, Q&A, Sellers",Sourabh Kumar,https://apify.com/sourabhbgp/mercadolibre-scraper?fpr=youssef,global-marketplaces,147,546,,0,"Scrape MercadoLibre and Mercado Livre across all 9 LATAM marketplaces: Mexico, Argentina, Brazil, Chile, Colombia, Peru, Uruguay, Ecuador, Dominican Republic. Pull products (title, price, brand, specs, variations), reviews, buyer Q&A, and seller catalogs"
Mobile.de Scraper (PPR),3x1t,https://apify.com/3x1t/mobile-de-scraper-ppr?fpr=youssef,other-ecommerce,146,786,4,1,"Effortlessly scrape car data from Germany's largest vehicle marketplace, Mobile.de. Get access to millions of entries of cars, motorbikes, etc. across Europe. Fast, cheap & reliable. PPR version for smaller use cases"
eBay Scraper,Automation Lab,https://apify.com/automation-lab/ebay-scraper?fpr=youssef,ebay-etsy,142,907,5,1,"Scrape eBay listings for price monitoring: prices, shipping, condition, seller ratings, bids, sold counts, discounts, and images. Filter by condition, listing type, and price range"
TikTok Shop Product Scraper (Mobile API),Rizla Piker,https://apify.com/cunning_soil/tiktok-shop-product-scraper-mobile-api?fpr=youssef,chinese-marketplaces,142,411,4.3,4,"Extract high-fidelity product data from TikTok Shop using mobile app endpoints. Get prices, stock, and images with zero CAPTCHAs"
Google Shopping Scraper,Kevin,https://apify.com/burbn/google-shopping-scraper?fpr=youssef,price-comparison,140,961,5,2,"Scrape Google Shopping products by keyword and extract prices, ratings, reviews, seller/store info, offers, shipping & more. Ideal for price monitoring, competitor research, and e-commerce market analysis"
1688.com Products Scraper,devcake,https://apify.com/devcake/1688-com-products-scraper?fpr=youssef,chinese-marketplaces,136,796,5.0,1,"Fast 1688.com scraper for bulk pricing tiers, supplier badges, product specs, and demand metrics. Filter by best-selling to find proven products with factory-direct pricing"
"TikTok Shop Scraper API - Products, Reviews, GMV",Raven,https://apify.com/pro100chok/tiktok-shop-scraper-usage?fpr=youssef,chinese-marketplaces,136,591,5,1,"Scrape TikTok Shop in 6 markets (US, SG, MY, TH, VN, PH): keyword search, categories, full product details with variants, reviews one-per-row, store analytics with GMV estimates and creator profiles. Local prices and currencies. No login, no API key, no proxy setup. Clean JSON, CSV and Excel export"
"Shopify & Ecommerce Store Finder - Emails, Phones & Tech (69M)",Apivault Labs,https://apify.com/apivault_labs/website-leads-database?fpr=youssef,shopify-stores,134,366,5,1,"Find Shopify & ecommerce stores at scale: 69M+ sites across Shopify, WooCommerce, Wix, WordPress and more. Verified emails, phones, tech stack and 59 firmographic fields. Filter by platform, country and tech. 1 store = 1 row"
Store Leads (14M E-Commerce Leads),Monster Leads,https://apify.com/ecommerce_leads/store-leads-14m-e-commerce-leads?fpr=youssef,shopify-stores,130,996,5.0,2,"Store leads for Shopify,Woocommerce,Magento,Squarespace,Ecwid,BigCommerce,Opencart,Webflow,PrestaShop and Demandware with phones,emails,apps,location,social networks,categories and technologies"
"AliExpress Scraper - Search Products, Prices & Ratings",Thirdwatch,https://apify.com/thirdwatch/aliexpress-product-scraper?fpr=youssef,chinese-marketplaces,130,698,5,1,"Scrape and monitor AliExpress products, prices, discounts, ratings, sales, images, and selling points. Get only new or price-changed listings on scheduled runs"
Amazon ASINs Scraper,Junglee,https://apify.com/junglee/amazon-asins-scraper?fpr=youssef,amazon,129,2151,5.0,11,"Gets you product data from Amazon. Unofficial API. Scrapes and downloads product information without using the Amazon API, including reviews, prices, descriptions"
Facebook Ad Library Scraper Pro,Omar Eldeeb,https://apify.com/constructive_calm/facebook-ad-library-pro?fpr=youssef,ads-and-trends,129,405,5,1,"Scrape Facebook Ads Library by keyword, page URL, or advertiser name. Returns full creative + CTA + linkUrl + advertiser identity + active dates. 35% cheaper than the leading alternative. No login required, country dropdown, multi-platform/media filters, resume checkpoints"
"Taobao Tmall 淘宝 Product Scraper - Prices, SKUs, Reviews",Zen Studio,https://apify.com/zen-studio/taobao-search-scraper?fpr=youssef,chinese-marketplaces,127,620,4.7,3,"Extract Taobao (淘宝) and Tmall (天猫) prices, SKUs, reviews, shop data, images, and attributes by keyword. Supports Chinese searches like 女装, 口红, 手机壳; exports JSON, CSV, and Excel"
Amazon Product Details Scraper,ВAH,https://apify.com/delicious_zebu/amazon-product-details-scraper?fpr=youssef,amazon,117,523,5,27,"Effortlessly scrape comprehensive Amazon product details, including pricing, reviews, ratings, availability, and more. Ideal for market analysis, competitor tracking, and data-driven decision-making"
"Airbnb Scraper - Listings, Prices & Amenities",Automation Lab,https://apify.com/automation-lab/airbnb-listing?fpr=youssef,reviews,115,1024,5,3,"Scrape Airbnb listings by location or search URL. Extract prices, ratings, review counts, coordinates, amenities, host details, photos, and availability context; use search-only mode for fast market scans or full mode for rich listing data"
Goofish Scraper 闲鱼 Xianyu (Idlefish) - Listings + Sellers,Zen Studio,https://apify.com/zen-studio/goofish-xianyu-search-scraper?fpr=youssef,other-ecommerce,115,543,1,1,"Extract Goofish 闲鱼 (Xianyu/Idlefish) listings by keyword. 150+ output fields per result: price, Zhima credit, specs, images, shipping, category labels, service guarantees, C2C posting metadata, and seller profile details. Up to 1,500 results per keyword. Chinese or English search terms. JSON output"
Etsy Scraper,Automation Lab,https://apify.com/automation-lab/etsy-scraper?fpr=youssef,ebay-etsy,110,938,5,2,"Scrape Etsy listings for handmade and vintage marketplace price monitoring. Extract names, prices, shops, ratings, images, and availability from search results"
Apple App Store Reviews API | iOS & macOS JSON,John,https://apify.com/johnvc/apple-app-store-reviews-api?fpr=youssef,reviews,108,430,5,6,"Apple App Store Reviews API. Fetch iOS and macOS app reviews on demand as structured JSON: ratings, titles, text, dates, versions, author, and helpfulness across 50+ country stores. Sort by most recent, most helpful, favorable, or critical. Built for ASO, sentiment, and AI agent workflows"
Scraper by Image - 1688 / Alibaba / AliExpress,devcake,https://apify.com/devcake/scraper-by-image?fpr=youssef,chinese-marketplaces,108,327,,0,"Search products by image across 1688, Alibaba, and AliExpress with a powerful scraper built for visual sourcing, product discovery, and automated marketplace research"
Apple App Store Scraper,Automation Lab,https://apify.com/automation-lab/apple-app-store-scraper?fpr=youssef,reviews,106,595,5,1,"Extract Apple App Store data: app details, ratings, reviews, and search results. Get app name, developer, price, rating, description, screenshots, and 30+ fields. Export to JSON, CSV, or Excel. No API key or login required"
Etsy Scraper,Crawler Bros,https://apify.com/crawlerbros/etsy-scraper?fpr=youssef,ebay-etsy,103,740,5,2,"Scrape product listings from Etsy search results, categories, shops, and product pages. Extract prices, ratings, reviews, seller info, badges, and product details"
"Etsy Scraper - Product Research, Tags, Prices & Sales",Yakugusa Yumitori,https://apify.com/yumitori/etsy-search-scraper?fpr=youssef,ebay-etsy,101,158,,0,"Etsy product research without the guesswork. Search any keyword and get every listing's tags, prices, views and demand - plus each shop's sales. The Etsy data the official API won't give you. No API key, no login, no extension"
"1688 Product Scraper API - Prices, MOQ & Suppliers",WebData Labs,https://apify.com/webdata_labs/1688-scraper?fpr=youssef,chinese-marketplaces,100,217,,0,"Scrape 1688 by keyword, product URL or ID, and supplier shop. Get MOQ price tiers, English titles, supplier data, images, SKUs, and buying signals in API-ready output. No 1688 login required"
Tiktok Creative Center Scraper,doliz,https://apify.com/doliz/tiktok-creative-center-scraper?fpr=youssef,ads-and-trends,97,1296,5,1,"Scrape TikTok Creative Center Top Ads and trends in one Actor. Search ads by brand or product keyword, extract ad analytics, keyframes, percentile benchmarks, and recommendations, or collect trending hashtags, hashtag analytics, and trending videos for creative and competitor research"
Amazon Products Scraper,Curious Coder,https://apify.com/curious_coder/amazon-scraper?fpr=youssef,amazon,97,1129,4.7,7,"Scrape amazon products, category pages, search results, amazon best sellers, etc and extract complete details such as description, price, rating, bestsellers ranks, badges, photos etc"
eBay Product Listing Scraper - Filters & 8 Markets,ВAH,https://apify.com/delicious_zebu/ebay-product-listing-scraper?fpr=youssef,ebay-etsy,90,911,4.3,27,"Scrape eBay search results, filtered listings and category pages across 8 marketplaces. Build a search from built-in filters - keywords, category, price, condition, seller, location - or paste URLs. Returns title, price, currency, condition, seller rating, shipping, sold count and more"
Google Shopping Scraper,Imad,https://apify.com/damilo/google-shopping-apify?fpr=youssef,price-comparison,90,853,4.6,5,"Lightning-fast Google Shopping scraper that captures live product listings straight from Google’s Shopping tab. Extract prices, ratings, sellers, availability, images and more - fully localized by keyword, language, and country with automatic pagination. Ideal for e-commerce price monitoring"
mobile.de [] Fast Scraper · Finance · Dealer GPS,Black Falcon Data,https://apify.com/blackfalcondata/mobile-de-scraper?fpr=youssef,reviews,89,249,5,1,"Scrape mobile.de - Germany's largest car marketplace (1.4M+ listings). Get full specs, market price ratings and dealer phone & GPS; filter by make/model or zip radius and track new, price-changed and delisted cars across runs. JSON/CSV export"
"Shopify Store Analyzer | Revenue, Traffic & Apps",Apivault Labs,https://apify.com/apivault_labs/shopify-store-analyzer?fpr=youssef,shopify-stores,87,332,5,2,"Analyze or discover Shopify stores for competitor research and lead generation. Get revenue and traffic estimates, products, best sellers, apps, contacts, ads, store health, opportunities and change tracking. -15 per 1,000 results by Apify plan"
Lazada Scraper | All-In-One,Fatih Tahta,https://apify.com/fatihtahta/lazada-scraper?fpr=youssef,global-marketplaces,86,439,5,1,"Scrape product data from all Lazada sites: Thailand, Singapore, Indonesia, Vietnam & Malaysia. This fast, affordable scraper extracts detailed info from any product search. Get the market insights and competitor data you need to stay ahead"
Vinted Scraper,Epic Scrapers,https://apify.com/epicscrapers/vinted-search-scraper?fpr=youssef,global-marketplaces,85,656,4.8,5,"Monitor and extract product listings, prices, photos & seller data from Vinted search results and catalogs. Fast, reliable API for market research, price monitoring & inventory tracking. AI agent friendly"
Fast Trustpilot Reviews Scraper API | TrustScores & Reviews,Agents,https://apify.com/theagents/trustpilot-reviews?fpr=youssef,reviews,85,586,5,7,"Lightning-fast Trustpilot Reviews Scraper that extracts 100-200 reviews per second at. Features custom mapping, secure processing, and rich data output. Perfect for e-commerce managers, analysts, and researchers seeking customer insights"
Walmart Product Detail Scraper,E Commerce,https://apify.com/e-commerce/walmart-product-detail-scraper?fpr=youssef,us-retailers,82,851,2.6,9,"Extract full product detail data from Walmart.com product pages, including name, priceInfo, variantList, ratingCounts, sellerName, upc, and returnPolicy. Export data, run via API, schedule and monitor runs, or integrate with other tools"
"Xiaohongshu (RedNote) Scraper - Notes, Users & Search",SIÁN OÜ,https://apify.com/sian.agency/xiaohongshu-rednote-scraper?fpr=youssef,ads-and-trends,82,646,5,1,"Xiaohongshu + RedNote (Little Red Book) scraper - note details, user profiles, full note catalogs, comments, search across notes and users. KOL discovery, engagement metrics, lifestyle trend mining for China market research. Six operations, one clean dataset per run. No API key"
Shopify Products Scraper,Trove Vault,https://apify.com/trovevault/shopify-products-scraper?fpr=youssef,shopify-stores,81,625,5,8,"Scrape Shopify products with prices, real inventory counts when public, product and variant IDs, SKUs, barcodes and GTINs, named options, weights, images, SEO, and metafields. Enter store domains with no API keys or category URLs"
Ads Scraper Creative Center,Azzouzana,https://apify.com/azzouzana/tiktok-creative-center-top-ads-scraper?fpr=youssef,ads-and-trends,81,203,5,3,"Top Ads Scraper! Extract up to 3K unique ads per run. Spy on competitor ads library. Advanced filters, export CTR, likes, MP4 video URLs & much more for ecom product research & trending hooks. Export JSON/CSV/Excel. AI agents ready & costs pennies! Start now"
Skyscanner Flight Scraper API,deusex machine,https://apify.com/makework36/flight-price-scraper?fpr=youssef,other-ecommerce,79,933,1,1,"Compare flight prices from 7 sources in one API call: Google Flights, Kiwi, Travelpayouts, Ryanair, EasyJet, Wizz Air, Norwegian. Merged, deduplicated feed of the cheapest fares per route and date. HTTP only, no browser, JSON/CSV"
Leboncoin Scraper (API) Pro - Annonces & Prix,ClearPath,https://apify.com/clearpath/leboncoin-api?fpr=youssef,global-marketplaces,79,520,5.0,6,"Leboncoin.fr Scraper API: Extract classified ads with prices, locations, seller info, and photos. Filter by category, price range, and area. For market research, price monitoring, and competitive analysis across France"
"Allegro.pl Product Scraper - Prices, Sellers, Stock & Specs",Muhamed Didovic,https://apify.com/memo23/allegro-scraper?fpr=youssef,global-marketplaces,79,255,5,2,"Scrape Allegro.pl products by keyword, category, seller or offer URL - pure HTTP, no browser. Each row: price (+ original), seller rating, condition, parameters, images, Smart!/sponsored, offer count & recent-buyer sales-velocity. Deep mode adds rating+reviews, stock, GTIN, warranty. JSON/CSV"
300K+ Amazon Sellers Email Leads,Miso,https://apify.com/xmiso_scrapers/eu-amazon-sellers-email-leads?fpr=youssef,amazon,78,1035,2.8,20,"Database of scraped sellers from Amazon marketplaces with emails, phone numbers and other valuable data"
